,percent_broken,percent_fail_runs,rul_score,mse
cmapss_four2two_dan,0.2,1.0,72.8542923503861,43.0010986328125
cmapss_four2two_dan,0.2,1.0,73.05420487451738,42.991363525390625
cmapss_four2two_dan,0.2,0.8,75.24808458011583,42.94573974609375
cmapss_four2two_dan,0.2,0.8,72.84899855212355,43.00139617919922
cmapss_four2two_dan,0.2,0.8,73.1713622104247,42.986202239990234
cmapss_four2two_dan,0.2,0.6,75.24601833976834,42.94574737548828
cmapss_four2two_dan,0.2,0.6,72.84247556708495,43.00178527832031
cmapss_four2two_dan,0.2,0.6,73.13301610762548,42.98796844482422
cmapss_four2two_dan,0.2,0.4,75.26864895028957,42.94556427001953
cmapss_four2two_dan,0.2,0.4,72.84973003137065,43.00137710571289
cmapss_four2two_dan,0.2,0.4,73.12039243484556,42.9883918762207
cmapss_four2two_dan,0.2,0.2,75.21139750241312,42.9460334777832
cmapss_four2two_dan,0.2,0.2,50.695614140926644,26.795413970947266
cmapss_four2two_dan,0.2,0.2,73.06342000482626,42.99091339111328
cmapss_four2two_dan,0.4,1.0,75.2918375965251,42.945396423339844
cmapss_four2two_dan,0.4,1.0,72.8324083011583,43.002445220947266
cmapss_four2two_dan,0.4,1.0,73.11175042229729,42.98881149291992
cmapss_four2two_dan,0.4,0.8,75.25473576254826,42.9456787109375
cmapss_four2two_dan,0.4,0.8,66.24019666988417,30.955581665039062
cmapss_four2two_dan,0.4,0.8,73.09331262065638,42.98967361450195
cmapss_four2two_dan,0.4,0.6,75.27819588561776,42.94550323486328
cmapss_four2two_dan,0.4,0.6,72.83210666023166,43.00242614746094
cmapss_four2two_dan,0.4,0.6,73.14416928088804,42.987388610839844
cmapss_four2two_dan,0.4,0.4,75.23037825772201,42.94587326049805
cmapss_four2two_dan,0.4,0.4,71.59016047297297,27.333377838134766
cmapss_four2two_dan,0.4,0.4,73.05842030646718,42.991233825683594
cmapss_four2two_dan,0.4,0.2,75.27513423021236,42.945499420166016
cmapss_four2two_dan,0.4,0.2,72.84981298262548,32.60728073120117
cmapss_four2two_dan,0.4,0.2,73.16848908059846,42.986427307128906
cmapss_four2two_dan,0.6,1.0,75.20956503378379,42.9460563659668
cmapss_four2two_dan,0.6,1.0,72.84859133687259,43.001529693603516
cmapss_four2two_dan,0.6,1.0,73.08658602799228,42.98991394042969
cmapss_four2two_dan,0.6,0.8,75.23629041988417,42.94584655761719
cmapss_four2two_dan,0.6,0.8,72.86158451978764,32.976966857910156
cmapss_four2two_dan,0.6,0.8,73.09604247104247,42.98954772949219
cmapss_four2two_dan,0.6,0.6,75.21553752413128,42.94598388671875
cmapss_four2two_dan,0.6,0.6,72.85494087837837,30.687959671020508
cmapss_four2two_dan,0.6,0.6,73.10008445945945,42.989295959472656
cmapss_four2two_dan,0.6,0.4,75.20525156853282,42.9460563659668
cmapss_four2two_dan,0.6,0.4,72.85958614864865,43.00078582763672
cmapss_four2two_dan,0.6,0.4,73.30171633687259,42.98133087158203
cmapss_four2two_dan,0.6,0.2,75.27088863416988,42.9455680847168
cmapss_four2two_dan,0.6,0.2,72.8565999034749,40.555397033691406
cmapss_four2two_dan,0.6,0.2,73.0749728523166,42.990577697753906
cmapss_four2two_dan,0.8,1.0,75.22770119449807,42.9459114074707
cmapss_four2two_dan,0.8,1.0,72.85507661679537,43.0012321472168
cmapss_four2two_dan,0.8,1.0,73.09838018822394,42.98965835571289
cmapss_four2two_dan,0.8,0.8,75.26628861003861,42.94563674926758
cmapss_four2two_dan,0.8,0.8,72.84959429295367,43.001399993896484
cmapss_four2two_dan,0.8,0.8,73.1551188465251,42.9870719909668
cmapss_four2two_dan,0.8,0.6,75.25040721525096,42.94576644897461
cmapss_four2two_dan,0.8,0.6,72.85755761341699,43.00090408325195
cmapss_four2two_dan,0.8,0.6,73.09460967664093,42.98974609375
cmapss_four2two_dan,0.8,0.4,75.25254132480696,42.945743560791016
cmapss_four2two_dan,0.8,0.4,72.84456443050193,43.001102447509766
cmapss_four2two_dan,0.8,0.4,73.09178933397683,42.98990249633789
cmapss_four2two_dan,0.8,0.2,75.2686640323359,42.945621490478516
cmapss_four2two_dan,0.8,0.2,72.83415781853282,43.00151062011719
cmapss_four2two_dan,0.8,0.2,73.17332287644787,42.986351013183594
cmapss_one2three_jan,0.0,1.0,52.3565234375,38.293479919433594
