,rul_score_1,rul_score_2,rul_score_3,rul_score_4,mse_1,mse_2,mse_3,mse_4
cmapss_three_baseline,75.087734375,1154.7944015444016,3.1518093872070314,1498.0098286290322,44.93474197387695,61.8569450378418,12.807101249694824,63.31581497192383
cmapss_three_baseline,163.23873046875,225.28957528957528,2.8121771240234374,201.18222341229838,39.18442916870117,49.93675994873047,12.940342903137207,49.94950866699219
cmapss_three_baseline,45.864423828125,148.61409568050192,3.0257635498046875,174.50074029737902,37.91413116455078,50.961246490478516,13.053627967834473,51.80642318725586
cmapss_three_baseline,40.88605224609375,386.72306346525096,2.8476596069335938,271.22010458669354,32.789581298828125,53.28219985961914,12.52663803100586,54.363040924072266
cmapss_three_baseline,107.904140625,358.27093388030886,2.9557675170898436,172.99212449596774,51.44223403930664,54.004886627197266,12.776424407958984,52.733619689941406
cmapss_three_baseline,41.395283203125,270.16484676640925,3.2173452758789063,212.48253213205646,36.13059616088867,50.38612747192383,13.056764602661133,50.48802185058594
cmapss_three_baseline,34.67892578125,1074.5452461389962,3.213991394042969,607.422127016129,33.88422393798828,56.81064987182617,12.326526641845703,57.278564453125
cmapss_three_baseline,49.594990234375,600.4822031853282,2.816182861328125,404.82538432459677,42.32096862792969,50.17401123046875,11.948291778564453,46.719478607177734
cmapss_four_baseline,114.9066015625,73.0848515926641,55.794921875,28.92856917842742,30.546693801879883,35.78497314453125,39.21369552612305,25.08572006225586
cmapss_four_baseline,167.78236328125,72.28851200530887,55.8629443359375,32.94688563193044,37.90449905395508,32.16661834716797,39.3004035949707,26.34479331970215
cmapss_four_baseline,623.3045703125,72.3660789695946,55.7653271484375,27.080731791834676,45.45563507080078,32.727020263671875,39.277103424072266,25.697847366333008
cmapss_four_baseline,744.34390625,72.35417923503861,56.2522216796875,73.88123739919355,48.222537994384766,43.11052703857422,39.36054229736328,42.98118591308594
cmapss_four_baseline,88.4096875,72.36549076978764,55.759931640625,50.89891396799395,33.277305603027344,32.06961441040039,39.27231979370117,26.89588737487793
cmapss_four_baseline,98.9028125,73.42169401544402,52.5950341796875,72.08303931451613,31.616403579711914,37.40150833129883,38.68157196044922,28.18781280517578
cmapss_four_baseline,477.197421875,72.29417531370656,55.84857421875,66.23024036038306,34.48212432861328,36.28417205810547,39.297523498535156,28.148773193359375
cmapss_four_baseline,117.632021484375,72.49112421573359,55.722294921875,22.47387892200101,35.22929382324219,33.600242614746094,39.25533676147461,23.65830421447754
cmapss_one_baseline,3.1148834228515625,1711.134893822394,34.107568359375,1606.094506048387,13.586109161376953,58.78379440307617,30.04671287536621,63.60365295410156
cmapss_one_baseline,2.8511553955078126,1834.0090492277993,130.12953125,2277.4816028225805,13.303187370300293,50.04800033569336,34.06306076049805,50.74435806274414
cmapss_one_baseline,3.2075653076171875,131.86329633204633,112.187353515625,83.67289094002017,13.584092140197754,45.18113708496094,47.31475830078125,45.335758209228516
cmapss_one_baseline,3.239318542480469,3716.918194980695,1002.172109375,8795.436491935483,13.564497947692871,55.60054016113281,64.3380355834961,60.242919921875
cmapss_one_baseline,3.1226547241210936,1756.7688223938223,1066.044609375,8259.040322580646,14.291049003601074,49.152099609375,45.956031799316406,51.948673248291016
cmapss_one_baseline,2.995156555175781,5405.156370656371,867.665,6478.145161290323,14.076854705810547,70.90884399414062,69.44384765625,73.86691284179688
cmapss_one_baseline,2.9860775756835936,168.24267012548262,49.45619140625,1385.6680947580646,13.692378997802734,45.546302795410156,31.88475227355957,49.67808532714844
cmapss_one_baseline,3.4633145141601562,3239.217664092664,2072.0990625,4657.828125,14.316191673278809,58.79111862182617,68.28131866455078,61.89084243774414
cmapss_two_baseline,1104.58453125,8.414766643038128,57.9957763671875,73.48224073840726,39.69036102294922,17.97459602355957,39.20953369140625,36.44638442993164
cmapss_two_baseline,377.1102734375,7.579813717875242,56.455546875,72.28891286542338,41.3607063293457,18.699066162109375,39.25477981567383,37.53493881225586
cmapss_two_baseline,285.79349609375,8.325558224239865,56.72765625,63.838847498739916,34.4212760925293,18.792543411254883,39.26246643066406,38.38994598388672
cmapss_two_baseline,803.440859375,33.419209248310814,56.0286669921875,72.09640404485887,39.71669387817383,23.335147857666016,39.23017883300781,34.88021469116211
cmapss_two_baseline,54.1676025390625,11.722865513392858,56.5127587890625,72.32432113155242,30.686628341674805,19.8792667388916,39.261070251464844,36.717987060546875
cmapss_two_baseline,343.7457421875,25.0543330719112,58.3588232421875,73.80780619959677,39.5052490234375,21.803634643554688,39.20112991333008,37.58836364746094
cmapss_two_baseline,295.992421875,7.943384825953185,56.5199755859375,72.32792811239919,35.784812927246094,18.151092529296875,39.25679016113281,35.83330535888672
cmapss_two_baseline,529.392890625,14.14903229820222,56.76396484375,52.43941374747984,34.43749237060547,20.132831573486328,39.26111602783203,38.544647216796875
